Country_name,Regional_indicator,year,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption
Swaziland,Sub-Saharan Africa,2011,8.94,0.837,40.808,0.607,-0.067,0.917
Australia,North America and ANZ,2021,10.796,0.94,73.9,0.914,0.159,0.442
Moldova,Commonwealth of Independent States,2011,9.111,0.869,61.62,0.628,-0.082,0.957
Canada,North America and ANZ,2015,10.774,0.939,73.0,0.931,0.253,0.427
Greece,Western Europe,2014,10.257,0.832,71.74,0.369,-0.288,0.93
Kazakhstan,Commonwealth of Independent States,2008,9.898,0.839,59.2,0.727,-0.221,0.899
Palestinian Territories,Middle East and North Africa,2015,8.48,0.766,74.41,0.556,-0.153,0.774
Montenegro,Central and Eastern Europe,2016,9.839,0.866,68.1,0.569,-0.087,0.849
Zambia,Sub-Saharan Africa,2015,8.144,0.691,53.8,0.759,-0.039,0.871
Thailand,Southeast Asia,2006,9.461,0.894,64.14,0.863,0.331,0.935
Belgium,Western Europe,2005,10.745,0.935,69.9,0.924,-0.033999999999999996,0.598
Russia,Commonwealth of Independent States,2007,10.074,0.885,59.26,0.593,-0.284,0.933
Bolivia,Latin America and Caribbean,2010,8.797,0.807,61.0,0.703,-0.068,0.781
Hungary,Central and Eastern Europe,2012,10.117,0.906,65.92,0.569,-0.136,0.93
Montenegro,Central and Eastern Europe,2018,9.934,0.856,68.5,0.626,-0.051,0.769
Armenia,Commonwealth of Independent States,2006,9.044,0.682,64.8,0.52,-0.231,0.85
United Arab Emirates,Middle East and North Africa,2016,11.105,0.849,66.7,0.949,0.131,0.299
Finland,Western Europe,2015,10.716,0.948,71.6,0.93,0.111,0.223
Austria,Western Europe,2020,10.851,0.925,73.6,0.912,0.011,0.464
North Macedonia,Central and Eastern Europe,2020,9.69,0.75,65.56,0.787,0.131,0.877
Tanzania,Sub-Saharan Africa,2020,7.881,0.74,58.5,0.83,0.295,0.521
China,East Asia,2021,9.673,0.811,69.593,0.904,-0.146,0.755
Senegal,Sub-Saharan Africa,2009,7.909,0.81,55.42,0.557,-0.036,0.918
Thailand,Southeast Asia,2018,9.803,0.873,67.2,0.905,0.259,0.907
Belarus,Commonwealth of Independent States,2015,9.815,0.924,65.2,0.623,-0.091,0.669
Ethiopia,Sub-Saharan Africa,2014,7.413,0.64,56.4,0.694,0.08,0.702
Mali,Sub-Saharan Africa,2014,7.638,0.843,49.84,0.652,-0.037,0.658
Senegal,Sub-Saharan Africa,2016,8.029,0.839,58.8,0.744,-0.086,0.794
Ethiopia,Sub-Saharan Africa,2017,7.612,0.734,58.0,0.717,0.001,0.757
Chad,Sub-Saharan Africa,2015,7.527,0.751,46.7,0.474,-0.029,0.889
Ghana,Sub-Saharan Africa,2011,8.332,0.724,54.48,0.852,0.011,0.79
Ecuador,Latin America and Caribbean,2009,9.225,0.779,66.62,0.737,-0.108,0.774
Ireland,Western Europe,2006,10.972,0.967,70.14,0.943,0.242,0.473
Chad,Sub-Saharan Africa,2006,7.36,0.724,43.18,0.306,0.028,0.961
India,South Asia,2017,8.73,0.607,59.7,0.886,-0.042,0.781
Montenegro,Central and Eastern Europe,2010,9.724,0.805,67.1,0.552,-0.206,0.757
Croatia,Central and Eastern Europe,2020,10.166,0.923,71.4,0.837,-0.063,0.961
Palestinian Territories,Middle East and North Africa,2006,8.213,0.818,61.78,0.547,-0.12490909090909091,0.858
Belgium,Western Europe,2011,10.783,0.937,70.92,0.88,-0.014,0.711
Rwanda,Sub-Saharan Africa,2008,7.239,0.486,53.04,0.752,0.017,0.286
Portugal,Western Europe,2012,10.315,0.866,71.2,0.774,-0.097,0.959
Singapore,Southeast Asia,2011,11.307,0.904,75.02,0.822,-0.149,0.099
Australia,North America and ANZ,2005,10.659,0.968,71.4,0.935,0.2752307692307693,0.39
Haiti,Latin America and Caribbean,2012,7.437,0.749,41.42,0.482,0.289,0.717
Brazil,Latin America and Caribbean,2014,9.664,0.898,65.54,0.714,-0.115,0.71
Turkmenistan,Commonwealth of Independent States,2009,8.989,0.924,59.44,0.7809999999999999,-0.102,0.6
Zambia,Sub-Saharan Africa,2006,7.817,0.798,44.26,0.721,-0.006,0.785
Laos,Southeast Asia,2017,8.89,0.707,58.3,0.891,0.073,0.592
Senegal,Sub-Saharan Africa,2006,7.881,0.76,53.38,0.736,-0.051,0.805
Montenegro,Central and Eastern Europe,2009,9.699,0.816,66.8,0.556,-0.101,0.838
Haiti,Latin America and Caribbean,2015,7.476,0.564,55.1,0.398,0.306,0.777
Palestinian Territories,Middle East and North Africa,2008,8.276,0.666,62.015,0.358,-0.07,0.753
Mozambique,Sub-Saharan Africa,2008,6.865,0.756,46.2,0.514,0.006,0.864
Pakistan,South Asia,2016,8.394,0.627,57.7,0.634,0.095,0.793
Netherlands,Western Europe,2015,10.882,0.879,72.0,0.904,0.261,0.412
Cambodia,Southeast Asia,2012,8.014,0.606,59.26,0.956,0.247,0.89
Sri Lanka,South Asia,2015,9.383,0.863,66.6,0.902,0.319,0.859
Ireland,Western Europe,2021,11.342,0.947,72.4,0.879,0.077,0.363
Tunisia,Middle East and North Africa,2018,9.284,0.733,66.9,0.65,-0.191,0.84
Libya,Middle East and North Africa,2019,9.627,0.827,62.3,0.762,-0.073,0.686
China,East Asia,2010,9.092,0.768,67.6,0.805,-0.133,0.755
Germany,Western Europe,2008,10.77,0.923,70.62,0.766,0.07900000000000001,0.758
Australia,North America and ANZ,2011,10.733,0.967,72.3,0.945,0.369,0.382
Singapore,Southeast Asia,2018,11.49,0.903,76.8,0.916,-0.066,0.097
Malta,Western Europe,2010,10.361,0.908,71.6,0.802,0.287,0.666
Haiti,Latin America and Caribbean,2018,7.477,0.538,55.7,0.591,0.422,0.72
Indonesia,Southeast Asia,2011,9.069,0.825,60.62,0.878,0.438,0.962
Australia,North America and ANZ,2017,10.798,0.95,73.3,0.911,0.317,0.411
Ukraine,Commonwealth of Independent States,2014,9.426,0.877,63.4,0.533,0.084,0.927
Palestinian Territories,Middle East and North Africa,2016,8.498,0.818,74.55,0.608,-0.129,0.812
Uruguay,Latin America and Caribbean,2006,9.543,0.912,67.44,0.807,-0.113,0.477
Nicaragua,Latin America and Caribbean,2016,8.668,0.853,66.9,0.717,0.039,0.731
Rwanda,Sub-Saharan Africa,2006,7.111,0.718,49.88,0.915,0.017875000000000002,0.299
Burkina Faso,Sub-Saharan Africa,2011,7.487,0.71,50.24,0.725,-0.105,0.707
Ecuador,Latin America and Caribbean,2008,9.236,0.829,66.44,0.64,-0.094,0.801
Guinea,Sub-Saharan Africa,2015,7.645,0.579,51.1,0.666,0.007,0.762
Zimbabwe,Sub-Saharan Africa,2009,7.563,0.806,45.42,0.411,-0.078,0.931
Laos,Southeast Asia,2019,8.965,0.729,59.1,0.906,0.061,0.62
Argentina,Latin America and Caribbean,2015,10.083,0.926,68.2,0.881,-0.174,0.851
Palestinian Territories,Middle East and North Africa,2013,8.489,0.761,74.03,0.454,-0.15,0.78
Kenya,Sub-Saharan Africa,2017,8.306,0.715,59.5,0.853,0.234,0.854
Nicaragua,Latin America and Caribbean,2006,8.398,0.877,64.14,0.745,0.01,0.844
Colombia,Latin America and Caribbean,2006,9.277,0.91,65.22,0.805,-0.015,0.808
Montenegro,Central and Eastern Europe,2007,9.693,0.832,66.2,0.512,-0.134,0.815
New Zealand,North America and ANZ,2007,10.546,0.967,71.4,0.878,0.279,0.295
Taiwan Province of China,East Asia,2006,10.613,0.882,68.68,0.63,-0.03,0.846
Poland,Central and Eastern Europe,2011,10.133,0.905,67.46,0.868,-0.067,0.908
Lithuania,Central and Eastern Europe,2006,10.046,0.93,63.14,0.567,-0.295,0.967
Paraguay,Latin America and Caribbean,2015,9.377,0.914,65.1,0.806,-0.008,0.863
Saudi Arabia,Middle East and North Africa,2018,10.771,0.868,66.3,0.855,-0.192,0.5446666666666666
Iran,Middle East and North Africa,2007,9.497,0.718,62.76,0.533,0.056,0.872
Egypt,Middle East and North Africa,2007,9.135,0.686,59.82,0.609,-0.121,0.8694999999999999
Bangladesh,South Asia,2013,8.116,0.53,61.96,0.742,-0.016,0.743
Panama,Latin America and Caribbean,2012,10.135,0.897,68.7,0.783,-0.002,0.796
Mauritania,Sub-Saharan Africa,2007,8.533,0.682,53.66,0.573,-0.072,0.586
Russia,Commonwealth of Independent States,2006,9.991,0.895,58.68,0.643,-0.307,0.935
Germany,Western Europe,2018,10.89,0.92,72.2,0.877,0.034,0.496
Mexico,Latin America and Caribbean,2018,9.903,0.858,68.3,0.816,-0.179,0.809
Azerbaijan,Commonwealth of Independent States,2010,9.569,0.687,63.4,0.501,-0.123,0.858
Chile,Latin America and Caribbean,2018,10.097,0.89,69.9,0.789,-0.06,0.816
Chad,Sub-Saharan Africa,2014,7.532,0.733,46.38,0.567,-0.07,0.881
Japan,East Asia,2007,10.558,0.938,73.44,0.796,-0.09,0.809
Uganda,Sub-Saharan Africa,2008,7.471,0.813,48.44,0.578,-0.055,0.848
Ecuador,Latin America and Caribbean,2010,9.244,0.839,66.8,0.723,-0.063,0.806
Bulgaria,Central and Eastern Europe,2016,9.928,0.926,66.4,0.7,-0.17,0.936
Jordan,Middle East and North Africa,2013,9.237,0.84,65.6,0.692,-0.117,0.687
Venezuela,Latin America and Caribbean,2017,9.073,0.896,66.3,0.636,-0.169,0.844
Honduras,Latin America and Caribbean,2006,8.462,0.933,64.54,0.65,0.089,0.844
Bangladesh,South Asia,2021,8.454,0.693,64.8,0.877,-0.041,0.682
Finland,Western Europe,2012,10.735,0.928,70.88,0.921,-0.001,0.361
Slovakia,Central and Eastern Europe,2020,10.332,0.954,69.5,0.762,-0.075,0.901
Tajikistan,Commonwealth of Independent States,2006,7.554,0.724,60.64,0.702,-0.088,0.768
Albania,Central and Eastern Europe,2010,9.303,0.733,66.4,0.569,-0.172,0.726
United Arab Emirates,Middle East and North Africa,2006,11.367,0.903,65.92,0.898,-0.033,0.203
Laos,Southeast Asia,2020,8.96,0.66,59.5,0.915,0.141,0.748
Mongolia,East Asia,2016,9.3,0.947,61.9,0.76,0.09,0.9
United States,North America and ANZ,2013,10.939,0.925,68.64,0.792,0.274,0.747
Moldova,Commonwealth of Independent States,2019,9.475,0.809,65.7,0.784,-0.092,0.884
Tanzania,Sub-Saharan Africa,2019,7.886,0.687,58.0,0.85,0.1,0.589
Jamaica,Latin America and Caribbean,2019,9.186,0.878,67.5,0.891,-0.137,0.885
Italy,Western Europe,2012,10.638,0.869,72.88,0.57,0.113,0.908
Latvia,Central and Eastern Europe,2014,10.144,0.881,65.64,0.671,-0.043,0.804
Georgia,Commonwealth of Independent States,2009,9.116,0.544,64.88,0.495,-0.233,0.535
India,South Asia,2008,8.22,0.684,56.56,0.756,-0.072,0.891
Estonia,Central and Eastern Europe,2018,10.472,0.933,68.6,0.886,-0.141,0.621
Dominican Republic,Latin America and Caribbean,2008,9.391,0.85,63.24,0.848,-0.045,0.728
Sweden,Western Europe,2020,10.838,0.936,72.8,0.951,0.091,0.203
Namibia,Sub-Saharan Africa,2007,9.059,0.828,49.68,0.781,-0.101,0.839
Yemen,Middle East and North Africa,2018,8.061555555555556,0.789,56.7,0.553,-0.12055555555555555,0.793
Peru,Latin America and Caribbean,2011,9.27,0.756,66.48,0.773,-0.123,0.824
Brazil,Latin America and Caribbean,2008,9.555,0.878,64.02,0.782,-0.078,0.688
Switzerland,Western Europe,2017,11.115,0.95,73.8,0.925,0.18,0.316
Madagascar,Sub-Saharan Africa,2021,7.396,0.686,59.305,0.552,-0.005,0.803
Peru,Latin America and Caribbean,2006,8.989,0.875,65.34,0.668,-0.071,0.895
New Zealand,North America and ANZ,2006,10.526,0.946,71.2,0.932,0.312,0.224
Mongolia,East Asia,2017,9.334,0.924,62.1,0.675,0.119,0.865
Malta,Western Europe,2019,10.677,0.922,72.2,0.924,0.087,0.689
Sweden,Western Europe,2010,10.79,0.97,71.9,0.905,0.141,0.253
Montenegro,Central and Eastern Europe,2012,9.726,0.704,67.42,0.462,-0.192,0.755
Costa Rica,Latin America and Caribbean,2016,9.83,0.901,70.9,0.873,-0.032,0.781
Mexico,Latin America and Caribbean,2021,9.859,0.831,68.597,0.862,-0.147,0.799
Mexico,Latin America and Caribbean,2005,9.788,0.903,66.2,0.814,-0.12876923076923077,0.764
Slovenia,Central and Eastern Europe,2017,10.509,0.928,70.8,0.921,-0.025,0.829
Turkmenistan,Commonwealth of Independent States,2015,9.472,0.96,61.0,0.701,0.093,0.6
Mauritania,Sub-Saharan Africa,2015,8.542,0.875,56.1,0.447,0.055,0.715
Portugal,Western Europe,2016,10.37,0.905,72.0,0.838,-0.225,0.922
Ecuador,Latin America and Caribbean,2006,9.186,0.91,66.08,0.671,-0.091,0.901
Comoros,Sub-Saharan Africa,2021,8.031,0.626,57.349,0.548,0.082,0.781
Gabon,Sub-Saharan Africa,2011,9.608,0.653,55.48,0.772,-0.211,0.851
Belarus,Commonwealth of Independent States,2017,9.814,0.9,65.8,0.621,-0.122,0.654
Ghana,Sub-Saharan Africa,2014,8.45,0.651,55.62,0.677,0.001,0.913
Slovakia,Central and Eastern Europe,2012,10.213,0.926,67.28,0.62,-0.028,0.907
Ethiopia,Sub-Saharan Africa,2016,7.547,0.719,57.5,0.744,0.038,0.703
Malta,Western Europe,2016,10.599,0.93,72.2,0.916,0.345,0.696
India,South Asia,2018,8.779,0.638,60.1,0.89,0.085,0.805
Benin,Sub-Saharan Africa,2021,8.087,0.489,54.713,0.757,-0.034,0.661
Latvia,Central and Eastern Europe,2009,9.975,0.807,64.24,0.437,-0.18,0.942
Cameroon,Sub-Saharan Africa,2019,8.203,0.711,53.5,0.712,-0.008,0.817
Lebanon,Middle East and North Africa,2016,9.687,0.828,66.1,0.657,0.031,0.853
Gambia,Sub-Saharan Africa,2019,7.699,0.694,55.3,0.677,0.41,0.798
Kyrgyzstan,Commonwealth of Independent States,2006,8.185,0.844,59.98,0.678,-0.14,0.879
Czech Republic,Central and Eastern Europe,2012,10.426,0.912,68.38,0.74,-0.154,0.957
Czech Republic,Central and Eastern Europe,2016,10.518,0.931,69.3,0.85,-0.197,0.9
Moldova,Commonwealth of Independent States,2013,9.192,0.803,62.26,0.658,-0.069,0.941
Singapore,Southeast Asia,2006,11.168,0.904,73.6,0.757,0.138,0.10655555555555557
Finland,Western Europe,2013,10.722,0.941,71.12,0.919,0.04,0.306
Pakistan,South Asia,2017,8.428,0.69,58.1,0.713,0.045,0.714
Lithuania,Central and Eastern Europe,2008,10.199,0.914,63.82,0.621,-0.259,0.961
Uruguay,Latin America and Caribbean,2007,9.604,0.875,67.58,0.786,-0.165,0.614
Cambodia,Southeast Asia,2015,8.173,0.729,60.4,0.956,0.21,0.825
Panama,Latin America and Caribbean,2009,9.93,0.905,68.2,0.721,0.014,0.889
Russia,Commonwealth of Independent States,2020,10.162,0.887,65.1,0.714,-0.071,0.823
Poland,Central and Eastern Europe,2015,10.235,0.893,68.1,0.793,-0.093,0.81
United States,North America and ANZ,2020,11.001,0.937,68.1,0.85,0.034,0.678
Laos,Southeast Asia,2018,8.935,0.705,58.7,0.907,0.141,0.634
Guinea,Sub-Saharan Africa,2018,7.823,0.63,54.4,0.731,0.092,0.778
Slovenia,Central and Eastern Europe,2018,10.546,0.941,71.1,0.942,-0.119,0.839
Iran,Middle East and North Africa,2005,9.393,0.766,62.0,0.651,0.15683333333333332,0.636
Cameroon,Sub-Saharan Africa,2010,8.035,0.759,48.3,0.792,0.002,0.875
Senegal,Sub-Saharan Africa,2012,7.926,0.711,57.02,0.668,-0.036,0.852
Pakistan,South Asia,2008,8.271,0.373,55.4,0.335,0.1,0.848
Kenya,Sub-Saharan Africa,2013,8.192,0.825,57.18,0.708,0.212,0.861
Argentina,Latin America and Caribbean,2009,9.977,0.919,67.18,0.637,-0.13,0.885
Argentina,Latin America and Caribbean,2013,10.103,0.91,67.84,0.737,-0.13,0.823
Croatia,Central and Eastern Europe,2013,10.069,0.751,68.2,0.627,-0.204,0.936
Serbia,Central and Eastern Europe,2019,9.808,0.903,68.6,0.753,-0.04,0.813
Benin,Sub-Saharan Africa,2016,7.993,0.493,53.5,0.78,-0.065,0.838
New Zealand,North America and ANZ,2010,10.52,0.976,72.0,0.918,0.254,0.321
Switzerland,Western Europe,2016,11.106,0.928,73.5,0.934,0.088,0.302
Afghanistan,South Asia,2019,7.697,0.42,52.4,0.394,-0.108,0.924
Luxembourg,Western Europe,2015,11.617,0.934,72.6,0.932,0.052,0.375
Argentina,Latin America and Caribbean,2014,10.067,0.918,68.02,0.745,-0.164,0.854
United Arab Emirates,Middle East and North Africa,2010,10.914,0.912,66.4,0.878,0.057,0.355
Botswana,Sub-Saharan Africa,2012,9.632,0.837,54.46,0.799,-0.203,0.814
Switzerland,Western Europe,2021,11.117,0.942,74.4,0.919,0.025,0.292
Belarus,Commonwealth of Independent States,2013,9.839,0.923,64.04,0.723,-0.177,0.653
Guinea,Sub-Saharan Africa,2012,7.603,0.542,50.44,0.646,0.001,0.794
Russia,Commonwealth of Independent States,2010,10.087,0.909,61.0,0.613,-0.296,0.937
Australia,North America and ANZ,2015,10.779,0.952,72.7,0.922,0.332,0.357
Belarus,Commonwealth of Independent States,2012,9.83,0.902,63.46,0.645,-0.217,0.657
Algeria,Middle East and North Africa,2017,9.354,0.807,65.7,0.437,-0.167,0.7
Uruguay,Latin America and Caribbean,2017,9.968,0.914,68.9,0.898,-0.091,0.627
Japan,East Asia,2015,10.588,0.923,74.7,0.832,-0.155,0.654
Poland,Central and Eastern Europe,2014,10.197,0.924,67.94,0.875,-0.064,0.898
Estonia,Central and Eastern Europe,2009,10.144,0.874,66.24,0.611,-0.23,0.793
Chile,Latin America and Caribbean,2011,9.98,0.819,69.04,0.701,0.112,0.753
Hungary,Central and Eastern Europe,2018,10.344,0.941,67.6,0.693,-0.243,0.911
Bolivia,Latin America and Caribbean,2009,8.773,0.831,60.5,0.779,-0.036,0.763
Montenegro,Central and Eastern Europe,2014,9.777,0.863,67.74,0.503,0.097,0.768
Kosovo,Central and Eastern Europe,2012,9.086,0.757,70.5,0.636,0.027,0.95
Bulgaria,Central and Eastern Europe,2012,9.804,0.838,65.9,0.641,-0.172,0.938
Philippines,Southeast Asia,2014,8.85,0.813,61.4,0.902,-0.015,0.787
Mauritius,Sub-Saharan Africa,2014,9.865,0.785,65.3,0.824,0.176,0.879
Bosnia and Herzegovina,Central and Eastern Europe,2018,9.576,0.836,67.8,0.659,0.123,0.913
Liberia,Sub-Saharan Africa,2018,7.311,0.727,56.1,0.766,0.05,0.868
Venezuela,Latin America and Caribbean,2019,9.458545454545456,0.888,66.7,0.626,-0.16510000000000002,0.839
Mauritania,Sub-Saharan Africa,2017,8.533,0.779,56.7,0.527,-0.153,0.777
Maldives,South Asia,2018,9.826,0.913,70.6,0.855,0.024,0.825
Austria,Western Europe,2019,10.939,0.964,73.3,0.903,0.06,0.457
Peru,Latin America and Caribbean,2016,9.426,0.803,67.5,0.83,-0.134,0.866
Portugal,Western Europe,2021,10.421,0.879,72.6,0.892,-0.244,0.887
Niger,Sub-Saharan Africa,2019,7.106,0.677,54.0,0.831,0.026,0.729
Venezuela,Latin America and Caribbean,2016,9.01,0.902,66.1,0.458,-0.155,0.89
Tunisia,Middle East and North Africa,2013,9.24,0.648,65.64,0.536,-0.207,0.886
Azerbaijan,Commonwealth of Independent States,2006,9.17,0.854,61.88,0.772,-0.235,0.774
Ecuador,Latin America and Caribbean,2015,9.384,0.856,67.6,0.801,-0.114,0.666
Myanmar,Southeast Asia,2012,8.158,0.612,57.02,0.691,0.645,0.695
Mongolia,East Asia,2021,9.4,0.935,62.5,0.708,0.116,0.856
Denmark,Western Europe,2011,10.848,0.962,70.62,0.935,0.298,0.22
Burkina Faso,Sub-Saharan Africa,2018,7.665,0.665,53.9,0.721,-0.013,0.757
Lebanon,Middle East and North Africa,2006,9.568,0.853,64.72,0.67,0.069,0.902
China,East Asia,2007,8.824,0.811,67.06,0.85575,-0.176,0.755
Spain,Western Europe,2015,10.531,0.956,73.5,0.732,-0.072,0.822
Thailand,Southeast Asia,2013,9.667,0.926,66.16,0.781,0.456,0.925
Ivory Coast,Sub-Saharan Africa,2019,8.564,0.679,50.1,0.736,-0.017,0.799
Iceland,Western Europe,2013,10.809,0.967,72.84,0.923,0.306,0.713
El Salvador,Latin America and Caribbean,2015,9.005,0.791,65.2,0.733,-0.156,0.805
Bulgaria,Central and Eastern Europe,2010,9.765,0.843,65.7,0.545,-0.144,0.941
Colombia,Latin America and Caribbean,2020,9.495,0.797,68.3,0.84,-0.085,0.808
Lebanon,Middle East and North Africa,2009,9.83,0.736,65.08,0.665,0.071,0.937
South Africa,Sub-Saharan Africa,2009,9.414,0.877,49.88,0.739,-0.154,0.904
United States,North America and ANZ,2014,10.956,0.902,68.62,0.866,0.221,0.702
Panama,Latin America and Caribbean,2013,10.184,0.896,68.9,0.811,0.018,0.814
Rwanda,Sub-Saharan Africa,2013,7.449,0.75,58.06,0.904,-0.028,0.117
Nepal,South Asia,2021,8.12,0.774,64.233,0.782,0.152,0.727
Sierra Leone,Sub-Saharan Africa,2010,7.254,0.812,43.9,0.726,0.012,0.91
Argentina,Latin America and Caribbean,2017,10.067,0.907,68.6,0.832,-0.186,0.841
Zimbabwe,Sub-Saharan Africa,2017,8.016,0.754,55.0,0.753,-0.098,0.751
Poland,Central and Eastern Europe,2017,10.314,0.882,68.9,0.831,-0.122,0.639
Jamaica,Latin America and Caribbean,2011,9.164,0.855,66.22,0.796,-0.064,0.909
South Korea,East Asia,2007,10.361,0.827,70.5,0.656,-0.059,0.803
Kazakhstan,Commonwealth of Independent States,2015,10.098,0.931,62.8,0.74,-0.037,0.714
Georgia,Commonwealth of Independent States,2006,8.993,0.647,65.12,0.553,-0.267,0.752
Nepal,South Asia,2012,7.846,0.734,59.6,0.638,0.07,0.883
Nepal,South Asia,2006,7.616,0.874,57.2,0.689,0.14533333333333334,0.897
Namibia,Sub-Saharan Africa,2021,9.161,0.818,56.799,0.719,-0.149,0.847
Kuwait,Middle East and North Africa,2015,10.912,0.823,66.1,0.822,0.082,0.557
Mongolia,East Asia,2013,9.248,0.935,61.1,0.748,0.136,0.928
Mauritius,Sub-Saharan Africa,2017,9.972,0.91,66.1,0.912,0.087,0.818
Bolivia,Latin America and Caribbean,2021,9.046,0.81,63.901,0.875,-0.077,0.839
Malaysia,Southeast Asia,2015,10.118,0.818,66.4,0.675,0.222,0.838
Iceland,Western Europe,2015,10.854,0.98,73.0,0.94,0.301,0.639
Cyprus,Western Europe,2018,10.567,0.826,73.7,0.794,-0.022,0.848
Sierra Leone,Sub-Saharan Africa,2021,7.434,0.63,51.651,0.717,0.084,0.866
Dominican Republic,Latin America and Caribbean,2010,9.456,0.86,63.8,0.824,-0.075,0.78
Poland,Central and Eastern Europe,2009,10.047,0.917,67.1,0.821,0.073,0.898
Thailand,Southeast Asia,2015,9.699,0.866,66.6,0.885,0.316,0.914
Cambodia,Southeast Asia,2006,7.746,0.793,55.3,0.9539,0.255,0.829
India,South Asia,2016,8.673,0.614,59.3,0.82,0.046,0.765
Mexico,Latin America and Caribbean,2016,9.884,0.893,67.7,0.752,-0.153,0.809
Slovenia,Central and Eastern Europe,2020,10.478,0.953,71.7,0.958,-0.081,0.797
Chile,Latin America and Caribbean,2013,10.053,0.862,69.32,0.737,0.085,0.741
Niger,Sub-Saharan Africa,2007,6.881,0.726,47.12,0.584,-0.056,0.748
Burkina Faso,Sub-Saharan Africa,2017,7.627,0.785,53.4,0.614,-0.063,0.727
Costa Rica,Latin America and Caribbean,2015,9.799,0.878,70.7,0.907,-0.059,0.761
France,Western Europe,2016,10.69,0.885,73.4,0.787,-0.091,0.623
Bolivia,Latin America and Caribbean,2020,8.998,0.805,64.2,0.877,-0.054,0.868
Malawi,Sub-Saharan Africa,2013,6.907,0.563,53.46,0.752,0.078,0.857
Ghana,Sub-Saharan Africa,2010,8.225,0.739,54.1,0.891,0.074,0.875
Portugal,Western Europe,2014,10.325,0.862,71.6,0.847,-0.126,0.941
Benin,Sub-Saharan Africa,2015,7.988,0.434,53.1,0.733,-0.027,0.85
Netherlands,Western Europe,2014,10.867,0.909,71.88,0.91,0.331,0.457
Sri Lanka,South Asia,2011,9.193,0.842,66.2,0.823,0.145,0.76
Serbia,Central and Eastern Europe,2012,9.605,0.819,66.52,0.461,-0.13,0.952
Uganda,Sub-Saharan Africa,2011,7.586,0.882,51.22,0.733,0.032,0.83
Jordan,Middle East and North Africa,2008,9.343,0.766,64.22,0.7370909090909091,-0.127,0.709
North Macedonia,Central and Eastern Europe,2012,9.513,0.798,64.811,0.613,-0.084,0.92
Mauritania,Sub-Saharan Africa,2021,8.542,0.795,57.161,0.561,-0.106,0.731
Albania,Central and Eastern Europe,2021,9.52,0.697,68.999,0.785,-0.03,0.901
Austria,Western Europe,2015,10.881,0.928,72.1,0.9,0.099,0.557
Nicaragua,Latin America and Caribbean,2017,8.7,0.838,67.2,0.922,0.01,0.673
Benin,Sub-Saharan Africa,2020,8.102,0.507,55.1,0.783,-0.083,0.532
Costa Rica,Latin America and Caribbean,2021,9.88,0.891,71.4,0.934,-0.126,0.809
South Korea,East Asia,2013,10.52,0.797,72.18,0.642,-0.05,0.832
Libya,Middle East and North Africa,2015,9.308,0.868,62.3,0.775,-0.044,0.6926
Peru,Latin America and Caribbean,2014,9.382,0.819,67.02,0.722,-0.136,0.878
Indonesia,Southeast Asia,2006,8.85,0.771,59.84,0.713,0.347,0.915
Armenia,Commonwealth of Independent States,2018,9.451,0.814,66.9,0.808,-0.163,0.677
Spain,Western Europe,2011,10.518,0.944,73.02,0.819,-0.122,0.846
Greece,Western Europe,2015,10.259,0.835,71.8,0.532,-0.272,0.824
Bahrain,Middle East and North Africa,2015,10.785,0.853,67.7,0.85,0.112,0.61
Lebanon,Middle East and North Africa,2013,9.772,0.708,65.44,0.655,-0.004,0.921
Lebanon,Middle East and North Africa,2014,9.739,0.759,65.52,0.657,-0.012,0.939
Albania,Central and Eastern Europe,2014,9.378,0.626,67.52,0.735,-0.025,0.883
Latvia,Central and Eastern Europe,2017,10.257,0.895,66.5,0.7,-0.154,0.798
Kosovo,Central and Eastern Europe,2017,9.262,0.792,71.95,0.858,0.117,0.925
Hong Kong S.A.R. of China,East Asia,2017,11.0,0.831,84.7,0.831,0.14,0.416
Montenegro,Central and Eastern Europe,2013,9.76,0.736,67.58,0.502,-0.176,0.693
Ecuador,Latin America and Caribbean,2019,9.339,0.808,68.8,0.83,-0.115,0.839
Myanmar,Southeast Asia,2013,8.23,0.757,57.38,0.775,0.689,0.638
Mongolia,East Asia,2012,9.158,0.919,60.8,0.688,0.107,0.932
Congo (Brazzaville),Sub-Saharan Africa,2012,8.192,0.622,54.96,0.773,-0.112,0.8
Portugal,Western Europe,2010,10.368,0.864,70.8,0.721,-0.106,0.948
Nepal,South Asia,2008,7.686,0.818,58.2,0.618,0.291,0.9
United States,North America and ANZ,2006,10.924,0.965,68.06,0.911,0.18933333333333338,0.6
Saudi Arabia,Middle East and North Africa,2019,10.757,0.912,66.6,0.891,-0.147,0.5446666666666666
Moldova,Commonwealth of Independent States,2010,9.054,0.847,61.3,0.598,-0.088,0.929
El Salvador,Latin America and Caribbean,2009,8.883,0.734,63.88,0.671,-0.103,0.648
Liberia,Sub-Saharan Africa,2007,7.196,0.594,49.14,0.79,0.115,0.776
Madagascar,Sub-Saharan Africa,2014,7.34,0.655,57.48,0.529,-0.023,0.791
Indonesia,Southeast Asia,2019,9.377,0.802,62.3,0.866,0.555,0.861
Iraq,Middle East and North Africa,2021,9.24,0.746,60.583,0.63,-0.053,0.875
